"Procedure","birdID","numberofsongs","average","median","standard error","median isi","mean isi","standard error isis","median syllen","mean syllen","standard error syllen","sm window","threshold","cv speed","cv isis","cv syllens","len speed","len isis","len syllens",
"none","gr84",426,11.4313334620187,11.4566286344786,0.042816443414347,44.7845804988662,52.0419453184324,0.343747333513095,41.3151927437642,39.8532563937681,0.100636913811855,12,600000,0.07730694215507,0.47639916308995,0.182128818686143,426,5202,5628,
"none","pu29bk57",519,15.1436942229545,15.3209086528224,0.048796405575703,19.9092970521542,25.8289587400667,0.140243324984937,39.9546485260771,40.3860258719092,0.060908917430813,12,300000,0.073407372480524,0.86150944049604,0.239295483120787,519,25175,25694,
"none","ye80ye79",402,12.0430570018785,11.9690928317408,0.030060181005891,33.968253968254,33.4923417876316,0.217727641507749,43.6281179138322,51.9406838895991,0.206195487976801,12,1000000,0.050045827649497,0.598428520667633,0.365439698535785,402,8474,8876,
"cochlea removal","bk27bk53",56,6.78431719841704,6.78831964752908,0.033871790135498,54.4104308390023,56.0848733135754,0.692479426594013,86.5986394557823,93.2176638027458,0.541030411227102,12,300000,0.037361647475243,0.683224961919171,0.321163406733586,56,3062,3118,
"membrane removed","bu21wh41",17,6.36059065420875,6.39874894704386,0.064174940304271,58.2879818594104,59.3705064964374,1.66717939142678,99.795918367347,99.2347136299351,0.964298289570482,12,350000,0.041599919217744,0.815798312338251,0.282305278759438,17,844,861,
"cochlea removal","bu22wh42",43,10.8503331927391,10.7418945425176,0.099254827178661,34.3310657596372,35.8274425229975,0.534032063109004,54.4331065759637,57.4781927140885,0.374426402803928,12,300000,0.05998501759373,0.753437057504855,0.32927504186389,43,2555,2598,
"cochlea removal","gr38gr1",73,7.2165580543825,7.37997304843355,0.115488659133903,57.4603174603175,54.9740240107587,0.692892878778043,80.3401360544218,79.9629658064776,0.23424243298591,12,1000000,0.136732155238817,0.957821462618856,0.222614101316161,73,5775,5848,
"skin cut only","gr56gr57",13,7.86468586532514,7.74641702263564,0.091154193865644,28.7074829931973,56.9196801527629,2.10173677921619,73.4467120181406,71.7058886054422,0.896653268683304,12,400000,0.041789478382755,0.924590961547,0.313114719549523,13,627,640,
"cochlea removal","gr58gr59",19,5.19091065666364,5.16563044761448,0.130253149875467,45.453514739229,59.8558212373439,2.47349669257094,105.9410430839,134.667759366234,3.72945616540078,12,500000,0.109375860024903,1.30809354008668,0.876628797939443,19,1002,1021,
"cochlea removal","or37pu44",54,10.5544646400775,10.5593656262565,0.07718877988761,29.7052154195011,27.4764538487727,0.287315633972991,52.8004535147392,68.4789604085682,0.644425892103943,12,300000,0.053742126495369,0.62127793496443,0.559117615747165,54,3530,3584,
"none","or38pu45",27,6.37685821638759,6.33700732693279,0.039028588564646,86.9727891156463,80.3715879657302,0.831464902869677,69.6825396825397,78.8718161232095,1.24857017090288,12,3000000,0.031802258752413,0.39175626313331,0.599467564619184,27,1434,1461,
"none","or74pu64",22,7.00009553325803,7.0234096706268,0.039122711892691,60.2721088435374,68.4638492775074,0.937429376677187,72.3809523809524,75.4206618876437,0.347096947521168,12,400000,0.026214182871745,0.59871644899977,0.201235408150515,22,1912,1934,
"cochlea removal","pk87gr53",20,5.78025530204253,5.67977705595378,0.089619940178362,50.6122448979592,56.0066947413886,1.46348756181379,95.6009070294785,121.137115396617,3.62616003958579,12,300000,0.069338210133199,0.598726863065709,0.685881977997387,20,525,545,
"none","pk90gr56",29,7.83663787341138,7.79301601936153,0.067996934614323,77.6190476190476,67.9839920859751,1.10811416218531,57.81179138322,60.6160115476886,0.49721222628586,12,1000000,0.046725994641204,0.684778627284961,0.3446091441053,29,1765,1794,
"cochlea removal","pu37bk12",33,10.1128460639167,7.80025784676984,1.64785574715571,50.9070294784581,52.7142220232969,0.80700739245595,76.7913832199547,77.2465176546809,0.395516183263927,12,450000,0.936058010985625,0.780463956760942,0.26102883661281,33,2599,2632,"median looks right from examples"
"skin cut only","wh21pk76",21,6.89390954408937,6.85163254948401,0.103688837761513,54.9886621315193,62.2357392353413,1.69603142923382,87.8344671201814,83.4477109492843,0.597569378368477,12,1000000,0.068924888660821,1.15458595425087,0.303393402793632,21,1795,1816,"20 songs more accurate from examples"
"none","wh32br40",44,11.7405875935437,11.9742569117598,0.182662467214699,12.4036281179138,32.7753716587924,0.638107965957352,40.1360544217687,54.0932647757383,0.628114517336631,12,750000,0.103201456009732,1.07996651287245,0.644109026560681,44,3077,3121,
"cochlea removal","bk101",20,9.43192221544783,9.7961298532501,0.241937250268342,24.9092970521542,60.5357389332545,2.60947821731447,44.8639455782313,47.5254498962706,0.659794046213649,12,20000,0.114714291643192,1.30748206890997,0.421091106519541,20,920,940,
"cochlea removal","bk88",21,10.1583261580833,9.92456179276681,0.122279487949215,27.9478458049887,56.3469112341293,2.27794416546452,32.8798185941043,44.1335014349314,0.798108117621574,12,35000,0.055162139977345,1.27072458637851,0.568423226940444,21,988,1009,
"skin cut only","bk89",23,4.59521457937803,4.50319172717563,0.133045191737472,55.8503401360544,66.1320209046749,2.22918626185595,71.859410430839,153.31255347757,5.95628360899139,12,10000,0.138853651671282,1.00334761919222,1.15641711988513,23,886,909,
"skin cut only","bk98",20,5.57616783756518,6.91396953650527,0.451985945511152,24.671201814059,50.7175477267257,2.63276570234281,61.6439909297052,105.488559059988,3.92053048591577,12,5000,0.362496728390715,1.96437986569206,1.4064068863013,20,1432,1452,
