bird,Procedure,birdID,numberofsongs,average,median,standard error,median isi,mean isi,standard error isis,median syllen,mean syllen,standard error syllen,sm window,threshold,cv speed,cv isis,cv syllens,len speed,len isis,len syllens
bk27bk53,cochlea removal,bk27bk53,95,6.69502948,6.6616124334,0.0273800217,54.9206349206,58.4837445041,0.604196795,86.3492063492,92.8309056034,0.3763874893,12,300000,0.0398605325,0.7988358057,0.3135139495,95,5979,6074
bu21wh41,membrane removed,bu21wh41,70,5.40416281,5.3887492639,0.0780993346,53.7414965986,60.6063607656,0.9522949109,109.081632653,128.048987557,1.675974785,12,200000,0.1209115893,0.9542204351,0.7948529448,70,3688,3758
bu22wh42,cochlea removal,bu22wh42,58,10.6524202536,10.6427416553,0.0925636639,35.612244898,37.6818202364,0.5237671722,54.4217687075,57.3969180769,0.3177135545,12,300000,0.066176873,0.8353726884,0.3326756703,58,3612,3670
gr38gr1,cochlea removal,gr38gr1,74,9.1495520206,7.9697640975,1.0521844581,62.3129251701,60.5403767854,0.6683576342,69.5011337868,65.7898081913,0.2788844283,12,1800000,0.9892542202,0.8646407094,0.3319995779,74,6134,6208
gr56gr57,skin cut only,gr56gr57,41,7.239324786,7.1610284168,0.112968695,24.7392290249,56.9287204143,2.0464898505,82.3469387755,84.480790991,0.9243479529,12,350000,0.0999198973,1.5959580989,0.4857589648,41,1971,2012
gr58gr59,cochlea removal,gr58gr59,41,4.966561655,4.9592353107,0.1003423616,47.2108843537,68.0116581022,2.374071416,104.138321995,133.033364887,2.5407376438,12,500000,0.1293660791,1.6642176898,0.9105398635,41,2273,2314
or37pu44,cochlea removal,or37pu44,60,10.4784545636,10.5180745075,0.0782327472,29.7278911565,28.110872481,0.3484094362,52.641723356,68.384084619,0.6187787132,12,300000,0.0578318349,0.7698333042,0.5620325117,60,3858,3918
or38pu45,none,or38pu45,41,6.136121567,6.1571688848,0.0570734747,93.537414966,101.797309833,1.6315001171,59.4557823129,63.9824579673,0.8330909624,12,5000000,0.0595569278,0.7812212109,0.6346798658,41,2376,2417
or74pu64,none,or74pu64,43,6.8601917564,6.8554906106,0.0517613923,52.5850340136,63.4155134706,0.8389499446,80.2607709751,82.8911621514,0.2603682977,12,250000,0.0494770642,0.8307185818,0.1972392142,43,3943,3986
pk87gr53,cochlea removal,pk87gr53,25,5.6412189714,5.6047356252,0.0914196448,51.9727891156,60.9531423275,1.9359930082,94.7278911565,121.173261793,3.1733243058,12,300000,0.0810282718,0.831290793,0.6854139597,25,685,710
pk90gr56,none,pk90gr56,35,6.5119932142,6.4937694417,0.0441950633,67.2108843537,63.8470794563,1.0664810292,79.8299319728,91.4966423728,0.7407828197,12,300000,0.0401507668,0.7542593651,0.3655900416,35,2039,2074
,,pu37bk12,74,4.9492147982,4.9082978219,0.0770243674,29.2630385488,48.6335343228,1.1103120745,105.657596372,156.769320752,2.1312168795,12,150000,0.1338775319,1.5143824534,0.9017640317,74,4400,4474
wh21pk76,skin cut only,wh21pk76,37,6.1842470383,6.2848289294,0.1133547152,50.7709750567,65.1307003077,1.9457181601,96.1904761905,93.4805714834,0.6938463902,12,750000,0.1114945457,1.5265028532,0.3792673091,37,2611,2648
wh32br40,none,wh32br40,57,11.7944845725,12.1045889953,0.1703222581,12.5850340136,33.664015407,0.5727209233,39.5011337868,52.6419750756,0.5137724493,12,800000,0.109025947,1.1113182697,0.6375290194,57,4267,4324
,,gr84,442,11.358532275,11.3851520252,0.0458553471,44.8299319728,52.8151501328,0.3938401154,41.3378684807,39.8379669869,0.1055383637,12,600000,0.0848748272,0.5493907599,0.1951790091,442,5428,5870
,,pu29bk57,582,14.9665424957,15.2284857163,0.0534544985,20.0453514739,26.6595969178,0.1606019387,39.9092970522,40.3922288788,0.05785155,12,300000,0.0861636858,1.0136370578,0.2409919057,582,28312,28894
,,ye80ye79,412,11.8394385642,11.7811571554,0.0427846477,40.2267573696,41.8143713477,0.2897895903,37.8684807256,45.8336707155,0.2133751443,12,1500000,0.0733509023,0.6304362981,0.4234900283,412,8275,8687
bk101,cochlea removal,bk101,23,8.5573543494,9.0431858262,0.4392706974,17.1882086168,47.7897852963,3.2117480122,62.7210884354,70.1909500118,1.5109664646,12,4500,0.2461821927,2.1060182413,0.6745737679,23,982,1005
bk88,cochlea removal,bk88,30,5.4362427091,5.5271479392,0.1535787438,56.1451247166,87.3867793122,6.8224361965,80.1360544218,100.193171839,2.5137602454,12,6000,0.1547365466,2.338244766,0.7514186152,30,897,927
bk89,skin cut only,bk89,43,4.3854933641,4.4296041624,0.1624271895,45.7596371882,83.7842021289,3.9587116646,70.9523809524,144.5575262926,5.1323476816,12,7000,0.2428703503,1.9561274221,1.4698762413,43,1714,1757
bk98,skin cut only,bk98,30,6.1930895182,7.4025980986,0.3773268094,40.0453514739,83.5993206697,3.5080810527,54.9206349206,59.5693777435,0.8083591453,12,50000,0.3337113156,1.9534231323,0.6316998128,30,2167,2197
